# FIELDS: tokenid	parserid	token	lemma	pos	entity	head	deprel
1	1	Signor	signore	S	O	8	vocative
668	19	esteri	estero	S	ORG	17	nmod
669	20	della	della	E+RD	O	21	case
670	21	Svizzera	Svizzera	SP	ORG	17	nmod
671	22	,	[PUNCT]	FF	O	12	punct
672	23	che	che	PR	O	24	nsubj
673	24	parlano	parlare	V	O	12	acl:relcl
674	25	di	di	E	O	27	case
675	26	300.000	300.000	N	O	27	nummod
676	27	donne	donna	S	O	24	nmod
677	28	vittime	vittima	S	O	27	nmod
678	29	della	della	E+RD	O	30	case
679	30	prostituzione	prostituzione	S	O	28	nmod
680	31	in	in	E	O	32	case
681	32	Europa	Europa	SP	LOC	28	nmod
682	33	.	[PUNCT]	FS	O	1	punct

683	1	Non	non	BN	O	3	neg
684	2	ci	ci	PC	O	3	expl
685	3	sono	essere	V	O	0	root
686	4	dati	dato	S	O	3	nsubj
687	5	statistici	statistico	A	O	4	amod
688	6	precisi	preciso	A	O	4	amod
689	7	al	al	E+RD	O	8	case
690	8	riguardo	riguardo	S	O	6	nmod
691	9	,	[PUNCT]	FF	O	3	punct
692	10	in	in	E	O	13	mark
693	11	quanto	quanto	B	O	10	mwe
694	12	si	si	PC	O	13	expl:impers
695	13	lavora	lavorare	V	O	3	conj
696	14	sulla	sulla	E+RD	O	15	case
697	15	base	base	S	O	13	nmod
698	16	di	di	E	O	17	case
699	17	numeri	numero	S	O	15	nmod
700	18	difficili	difficile	A	O	17	amod
701	19	da	da	E	O	20	mark
702	20	reperire	reperire	V	O	17	acl
703	21	,	[PUNCT]	FF	O	13	punct
704	22	essendo	essere	V	O	13	advcl
705	23	legati	legare	V	O	22	xcomp
706	24	al	al	E+RD	O	25	case
707	25	problema	problema	S	O	23	nmod
708	26	dell'	dell'	E+RD	O	27	case
709	27	immigrazione	immigrazione	S	O	25	nmod
710	28	clandestina	clandestino	A	O	27	amod
711	29	,	[PUNCT]	FF	O	25	punct
712	30	da	da	E	O	32	case
713	31	un	un	RI	O	32	det
714	32	lato	lato	S	O	25	nmod
715	33	,	[PUNCT]	FF	O	32	punct
716	34	e	e	CC	O	32	cc
717	35	dell'	dell'	E+RD	O	36	case
718	36	occupazione	occupazione	S	O	32	conj
719	37	illegale	illegale	A	O	36	amod
720	38	,	[PUNCT]	FF	O	36	punct
721	39	dall'	dall'	E+RD	O	40	case
722	40	altro	altro	PI	O	36	nmod
723	41	.	[PUNCT]	FS	O	3	punct

724	1	A	a	E	O	3	mark
725	2	prima	prima	B	O	3	advmod
726	3	vista	vistare	V	O	7	advcl
727	4	il	il	RD	O	5	det
728	5	numero	numero	S	O	3	dobj
729	6	ci	ci	PC	O	7	advmod
730	7	sembra	sembrare	V	O	0	root
731	8	abbastanza	abbastanza	B	O	9	advmod
732	9	elevato	elevato	A	O	7	xcomp
733	10	;	[PUNCT]	FC	O	7	punct
734	11	pensiamo	pensare	V	O	7	parataxis
735	12	sia	essere	V	O	13	cop
736	13	necessario	necessario	A	O	11	ccomp
737	14	compiere	compiere	V	O	13	csubj
738	15	uno	un	RI	O	16	det
739	16	sforzo	sforzo	S	O	14	dobj
740	17	per	per	E	O	18	mark
741	18	dare	dare	V	O	14	advcl
742	19	una	una	RI	O	22	det
743	20	più	più	B	O	21	advmod
744	21	corretta	correggere	V	O	22	acl
745	22	valutazione	valutazione	S	O	18	dobj
746	23	di	di	E	O	25	case
747	24	tale	tale	DD	O	25	det
748	25	cifra	cifra	S	O	22	nmod
749	26	e	e	CC	O	18	cc
750	27	che	che	CS	O	32	mark
751	28	non	non	BN	O	32	neg
752	29	ci	ci	PC	O	32	advmod
753	30	si	si	PC	O	32	expl:impers
754	31	debba	dovere	VM	O	32	aux
755	32	fissare	fissare	V	O	18	conj
756	33	,	[PUNCT]	FF	O	32	punct
757	34	nonostante	nonostante	E	O	35	case
758	35	tutto	tutto	PI	O	32	nmod
759	36	,	[PUNCT]	FF	O	32	punct
760	37	su	su	E	O	39	case
761	38	una	una	RI	O	39	det
762	39	stima	stima	S	O	32	nmod
763	40	del	del	E+RD	O	41	case
764	41	genere	genere	S	O	39	nmod
765	42	,	[PUNCT]	FF	O	41	punct
766	43	che	che	PR	O	46	nsubj
767	44	a	a	E	O	45	case
768	45	noi	noi	PE	O	46	nmod
769	46	pare	parere	V	O	41	acl:relcl
770	47	alquanto	alquanto	B	O	48	advmod
771	48	priva	privo	A	O	46	xcomp
772	49	di	di	E	O	50	case
773	50	fondamento	fondamento	S	O	48	nmod
774	51	.	[PUNCT]	FS	O	7	punct

775	1	Ad	ad	E	O	3	case
776	2	ogni	ogni	DI	O	3	det
777	3	modo	modo	S	O	7	nmod
778	4	,	[PUNCT]	FF	O	3	punct
779	5	il	il	RD	O	6	det
780	6	problema	problema	S	O	7	nsubj
781	7	va	andare	V	O	0	root
782	8	affrontato	affrontare	V	O	7	advcl
783	9	molto	molto	B	O	10	advmod
784	10	seriamente	seriamente	B	O	8	advmod
785	11	,	[PUNCT]	FF	O	8	punct
786	12	non	non	BN	O	13	neg
787	13	solo	solo	B	O	15	advmod
788	14	a	a	E	O	15	case
789	15	causa	causa	S	O	8	nmod
790	16	del	del	E+RD	O	17	case
791	17	numero	numero	S	O	15	nmod
792	18	di	di	E	O	19	case
793	19	persone	persona	S	O	17	nmod
794	20	coinvolte	coinvolgere	V	O	19	acl
795	21	,	[PUNCT]	FF	O	8	punct
796	22	ma	ma	CC	O	8	cc
797	23	anche	anche	B	O	31	advmod
798	24	perché	perché	CS	O	31	mark
799	25	la	la	RD	O	26	det
800	26	tratta	tratta	S	O	31	nsubj
801	27	delle	della	E+RD	O	28	case
802	28	donne	donna	S	O	26	nmod
803	29	è	essere	V	O	31	cop
804	30	un	un	RI	O	31	det
805	31	tipo	tipo	S	O	8	conj
806	32	di	di	E	O	33	case
807	33	reato	reato	S	O	31	nmod
808	34	che	che	PR	O	40	nsubj
809	35	,	[PUNCT]	FF	O	34	punct
810	36	a	a	E	O	37	case
811	37	quanto	quanto	PR	O	40	nmod
812	38	pare	parere	V	O	37	acl:relcl
813	39	,	[PUNCT]	FF	O	37	punct
814	40	è	essere	V	O	33	acl:relcl
815	41	in	in	E	O	42	case
816	42	fase	fase	S	O	40	nmod
817	43	di	di	E	O	44	case
818	44	espansione	espansione	S	O	42	nmod
819	45	in	in	E	O	48	case
820	46	tutto	tutto	T	O	48	det:predet
821	47	il	il	RD	O	48	det
822	48	mondo	mondo	S	O	44	nmod
823	49	,	[PUNCT]	FF	O	7	punct
824	50	poiché	poiché	CS	O	51	mark
825	51	è	essere	V	O	7	advcl
826	52	in	in	E	O	53	case
827	53	grado	grado	S	O	51	nmod
828	54	di	di	E	O	55	mark
829	55	procurare	procurare	V	O	53	acl
830	56	profitti	profitto	S	O	55	dobj
831	57	elevati	elevato	A	O	56	amod
832	58	con	con	E	O	59	case
833	59	rischi	rischio	S	O	55	nmod
834	60	relativamente	relativamente	B	O	61	advmod
835	61	bassi	basso	A	O	59	amod
836	62	per	per	E	O	64	case
837	63	i	il	RD	O	64	det
838	64	trafficanti	trafficante	S	O	51	nmod
839	65	.	[PUNCT]	FS	O	7	punct

840	1	Esiste	esistere	V	O	0	root
841	2	un	un	RI	O	3	det
842	3	traffico	traffico	S	O	1	dobj
843	4	di	di	E	O	5	case
844	5	dimensioni	dimensione	S	O	3	nmod
845	6	minori	minore	A	O	5	amod
846	7	,	[PUNCT]	FF	O	1	punct
847	8	ma	ma	CC	O	1	cc
848	9	vi	vi	PC	O	10	expl
849	10	sono	essere	V	O	1	conj
850	11	anche	anche	B	O	12	advmod
851	12	grandi	grande	A	O	13	amod
852	13	imprese	impresa	S	O	10	nsubj
853	14	e	e	CC	O	13	cc
854	15	reti	rete	S	O	13	conj
855	16	internazionali	internazionale	A	O	15	amod
856	17	che	che	PR	O	18	nsubj
857	18	danno	dare	V	O	15	acl:relcl
858	19	vita	vita	S	O	18	dobj
859	20	ad	ad	E	O	22	case
860	21	un'	un'	RI	O	22	det
861	22	industria	industria	S	O	18	nmod
862	23	sofisticata	sofisticato	A	O	22	amod
863	24	e	e	CC	O	22	cc
864	25	ben	ben	B	O	26	advmod
865	26	organizzata	organizzato	A	O	22	conj
866	27	,	[PUNCT]	FF	O	22	punct
867	28	che	che	PR	O	30	nsubj
868	29	si	si	PC	O	30	expl
869	30	avvale	avvalere	V	O	22	acl:relcl
870	31	di	di	E	O	32	case
871	32	appoggi	appoggio	S	O	30	nmod
872	33	politici	politico	A	O	32	amod
873	34	e	e	CC	O	30	cc
874	35	risorse	risorsa	S	O	30	conj
875	36	economiche	economico	A	O	35	amod
876	37	nei	nel	E+RD	O	38	case
877	38	paesi	paese	S	O	35	nmod
878	39	di	di	E	O	40	case
879	40	origine	origine	S	O	38	nmod
880	41	,	[PUNCT]	FF	O	38	punct
881	42	di	di	E	O	43	case
882	43	transito	transito	S	O	38	conj
883	44	e	e	CC	O	38	cc
884	45	di	di	E	O	46	case
885	46	destinazione	destinazione	S	O	38	conj
886	47	.	[PUNCT]	FS	O	1	punct

887	1	E'	E'	V	O	0	root
888	2	per	per	E	O	4	case
889	3	questa	questo	DD	O	4	det
890	4	ragione	ragione	S	O	1	nmod
891	5	che	che	CS	O	10	mark
892	6	la	la	RD	O	7	det
893	7	questione	questione	S	O	10	nsubjpass
894	8	deve	dovere	VM	O	10	aux
895	9	essere	essere	VA	O	10	auxpass
896	10	affrontata	affrontare	V	O	4	advcl
897	11	al	al	E+RD	O	13	case
898	12	massimo	massimo	A	O	13	amod
899	13	livello	livello	S	O	10	nmod
900	14	,	[PUNCT]	FF	O	10	punct
901	15	ovvero	ovvero	CC	O	10	cc
902	16	di	di	E	O	17	case
903	17	concerto	concerto	S	O	10	conj
904	18	con	con	E	O	20	case
905	19	le	la	RD	O	20	det
906	20	Nazioni	Nazioni	SP	ORG	17	nmod
907	21	Unite	Unite	SP	ORG	20	name
908	22	.	[PUNCT]	FS	O	1	punct

909	1	Lei	lei	PE	O	2	nsubj
910	2	saprà	sapere	V	O	0	root
911	3	di	di	E	O	4	case
912	4	sicuro	sicuro	A	O	2	nmod
913	5	che	che	PR	O	11	nsubj
914	6	è	essere	VA	O	11	cop
915	7	attualmente	attualmente	B	O	9	advmod
916	8	in	in	E	O	9	case
917	9	discussione	discussione	S	O	11	nmod
918	10	un	un	RI	O	11	det
919	11	progetto	progetto	S	O	4	acl:relcl
920	12	di	di	E	O	13	case
921	13	protocollo	protocollo	S	O	11	nmod
922	14	volto	volgere	V	O	11	acl
923	15	a	a	E	O	16	mark
924	16	prevenire	prevenire	V	O	14	xcomp
925	17	,	[PUNCT]	FF	O	16	punct
926	18	eliminare	eliminare	V	O	16	conj
927	19	e	e	CC	O	16	cc
928	20	punire	punire	V	O	16	conj
929	21	la	la	RD	O	22	det
930	22	tratta	tratta	S	O	20	dobj
931	23	delle	della	E+RD	O	24	case
932	24	persone	persona	S	O	22	nmod
933	25	,	[PUNCT]	FF	O	20	punct
934	26	in	in	E	O	27	case
935	27	particolare	particolare	S	O	20	nmod
936	28	di	di	E	O	29	case
937	29	donne	donna	S	O	27	nmod
938	30	e	e	CC	O	29	cc
939	31	bambini	bambino	S	O	29	conj
940	32	,	[PUNCT]	FF	O	20	punct
941	33	il	il	RD	O	34	det
942	34	quale	quale	PR	O	35	nsubj
943	35	fa	fare	V	O	20	acl:relcl
944	36	da	da	E	O	37	case
945	37	complemento	complemento	A	O	35	nmod
946	38	alla	alla	E+RD	O	39	case
947	39	Convenzione	convenzione	S	ORG	35	nmod
948	40	delle	della	E+RD	ORG	41	case
949	41	Nazioni	Nazioni	SP	ORG	39	nmod
950	42	Unite	Unite	SP	ORG	41	name
951	43	contro	contro	E	O	45	case
952	44	la	la	RD	O	45	det
953	45	criminalità	criminalità	S	O	39	nmod
954	46	organizzata	organizzato	A	O	45	amod
955	47	.	[PUNCT]	FS	O	2	punct

956	1	A	a	E	O	3	case
957	2	tal	tal	DD	O	3	det
958	3	proposito	proposito	S	O	7	nmod
959	4	il	il	RD	O	5	det
960	5	Consiglio	consiglio	S	ORG	7	nsubj
961	6	ha	avere	VA	O	7	aux
962	7	adottato	adottare	V	O	0	root
963	8	di	di	E	O	9	case
964	9	recente	recente	A	O	7	nmod
965	10	una	una	RI	O	11	det
966	11	decisione	decisione	S	O	7	dobj
967	12	proprio	proprio	B	O	14	advmod
968	13	per	per	E	O	14	mark
969	14	autorizzare	autorizzare	V	O	11	acl
970	15	la	la	RD	O	16	det
971	16	Commissione	commissione	S	ORG	14	dobj
972	17	a	a	E	O	18	mark
973	18	negoziare	negoziare	V	O	14	advcl
974	19	tale	tale	DD	O	20	det
975	20	protocollo	protocollo	S	O	18	dobj
976	21	.	[PUNCT]	FS	O	7	punct

977	1	Gli	il	RD	O	2	det
978	2	Stati	Stati	SP	O	8	nsubj
979	3	membri	membro	S	O	2	nmod
980	4	dell'	dell'	E+RD	O	5	case
981	5	Unione	Unione	SP	LOC	3	nmod
982	6	europea	europea	SP	LOC	5	name
983	7	stanno	stare	VA	O	8	aux
984	8	svolgendo	svolgere	V	O	0	root
985	9	anch'	anch'	B	O	8	advmod
986	10	essi	essi	PE	O	8	dobj
987	11	un	un	RI	O	12	det
988	12	ruolo	ruolo	S	O	10	appos
989	13	molto	molto	B	O	14	advmod
990	14	attivo	attivo	A	O	12	amod
991	15	nella	nella	E+RD	O	16	case
992	16	sessione	sessione	S	O	12	nmod
993	17	della	della	E+RD	O	18	case
994	18	commissione	commissione	S	ORG	16	nmod
995	19	delle	della	E+RD	ORG	20	case
996	20	Nazioni	Nazioni	SP	ORG	18	nmod
997	21	Unite	Unite	SP	ORG	20	name
998	22	sullo	sul	E+RD	O	23	case
999	23	statuto	statuto	S	O	18	nmod
1000	24	della	della	E+RD	O	25	case
1001	25	donna	donna	S	O	23	nmod
1002	26	,	[PUNCT]	FF	O	12	punct
1003	27	che	che	PR	O	29	nsubj
1004	28	sta	stare	VA	O	29	aux
1005	29	preparando	preparare	V	O	12	acl:relcl
1006	30	una	una	RI	O	31	det
1007	31	sessione	sessione	S	O	29	dobj
1008	32	speciale	speciale	A	O	31	amod
1009	33	dell'	dell'	E+RD	O	34	case
1010	34	Assemblea	assemblea	S	ORG	31	nmod
1011	35	generale	generale	A	ORG	34	amod
1012	36	delle	della	E+RD	ORG	37	case
1013	37	Nazioni	Nazioni	SP	ORG	34	nmod
1014	38	Unite	Unite	SP	ORG	37	name
1015	39	dedicata	dedicare	V	O	37	acl
1016	40	,	[PUNCT]	FF	O	29	punct
1017	41	per	per	E	O	43	case
1018	42	l'	l'	RD	O	43	det
1019	43	appunto	appunto	S	O	29	nmod
1020	44	,	[PUNCT]	FF	O	43	punct
1021	45	alla	alla	E+RD	O	46	case
1022	46	donna	donna	S	O	43	nmod
1023	47	.	[PUNCT]	FS	O	8	punct

1024	1	Per	per	E	O	2	mark
1025	2	concludere	concludere	V	O	4	advcl
1026	3	vorrei	volere	VM	O	4	aux
1027	4	ribadire	ribadire	V	O	0	root
1028	5	l'	l'	RD	O	6	det
1029	6	importanza	importanza	S	O	4	dobj
1030	7	che	che	PR	O	10	dobj
1031	8	il	il	RD	O	9	det
1032	9	Consiglio	consiglio	S	ORG	10	nsubj
1033	10	continua	continuare	V	ORG	6	acl:relcl
1034	11	ad	ad	E	O	12	mark
1035	12	attribuire	attribuire	V	O	10	xcomp
1036	13	al	al	E+RD	O	14	case
1037	14	problema	problema	S	O	12	nmod
1038	15	della	della	E+RD	O	16	case
1039	16	tratta	tratta	S	O	14	nmod
1040	17	dei	del	E+RD	O	18	case
1041	18	bambini	bambino	S	O	16	nmod
1042	19	e	e	CC	O	18	cc
1043	20	delle	della	E+RD	O	21	case
1044	21	donne	donna	S	O	18	conj
1045	22	e	e	CC	O	4	cc
1046	23	spero	sperare	V	O	4	conj
1047	24	di	di	E	O	26	mark
1048	25	essere	essere	VA	O	26	aux
1049	26	riuscito	riuscire	V	O	23	xcomp
1050	27	,	[PUNCT]	FF	O	23	punct
1051	28	col	col	E+RD	O	30	case
1052	29	mio	mio	AP	O	30	det:poss
1053	30	intervento	intervento	S	O	23	nmod
1054	31	,	[PUNCT]	FF	O	30	punct
1055	32	a	a	E	O	33	mark
1056	33	tranquillizzare	tranquillizzare	V	O	30	acl
1057	34	in	in	E	O	35	case
1058	35	parte	parte	S	O	33	nmod
1059	36	la	la	RD	O	37	det
1060	37	onorevole	onorevole	S	O	33	dobj
1061	38	parlamentare	parlamentare	A	O	37	amod
1062	39	,	[PUNCT]	FF	O	33	punct
1063	40	perlomeno	perlomeno	B	O	43	advmod
1064	41	riguardo	riguardo	S	O	43	case
1065	42	al	al	E+RD	O	41	mwe
1066	43	modo	modo	S	O	33	nmod
1067	44	in	in	E	O	45	case
1068	45	cui	cui	PR	O	50	nmod
1069	46	il	il	RD	O	47	det
1070	47	Consiglio	consiglio	S	ORG	50	nsubj
1071	48	si	si	PC	O	50	expl
1072	49	è	essere	VA	O	50	aux
1073	50	mobilitato	mobilitare	V	O	43	acl:relcl
1074	51	sulla	sulla	E+RD	O	52	case
1075	52	questione	questione	S	O	50	nmod
1076	53	.	[PUNCT]	FS	O	4	punct

1077	1	Signor	signore	S	O	9	nsubj
1078	2	Presidente	presidente	S	O	1	compound
1079	3	in	in	E	O	4	case
1080	4	carica	carica	S	O	1	nmod
1081	5	del	del	E+RD	O	6	case
1082	6	Consiglio	consiglio	S	ORG	4	nmod
1083	7	,	[PUNCT]	FF	O	1	punct
1084	8	la	la	PC	O	9	dobj
1085	9	ringrazio	ringraziare	V	O	0	root
1086	10	sinceramente	sinceramente	B	O	9	advmod
1087	11	per	per	E	O	13	case
1088	12	la	la	RD	O	13	det
1089	13	risposta	risposta	S	O	9	nmod
1090	14	così	così	B	O	15	advmod
1091	15	completa	completo	A	O	13	amod
1092	16	che	che	PR	O	18	nsubj
1093	17	ha	avere	VA	O	18	aux
1094	18	dato	dare	V	O	13	acl:relcl
1095	19	a	a	E	O	21	case
1096	20	questa	questo	DD	O	21	det
1097	21	interrogazione	interrogazione	S	O	18	nmod
1098	22	citando	citare	V	O	18	advcl
1099	23	i	il	RD	O	24	det
1100	24	programmi	programma	S	O	22	dobj
1101	25	che	che	CS	O	34	mark
1102	26	,	[PUNCT]	FF	O	34	punct
1103	27	come	come	E	O	30	mark
1104	28	ci	ci	PC	O	30	advmod
1105	29	ha	avere	VA	O	30	aux
1106	30	ricordato	ricordare	V	O	34	advcl
1107	31	,	[PUNCT]	FF	O	30	punct
1108	32	sono	essere	VA	O	34	aux
1109	33	stati	essere	VA	O	34	auxpass
1110	34	realizzati	realizzare	V	O	24	acl
1111	35	.	[PUNCT]	FS	O	9	punct

1112	1	Mi	mi	PC	O	2	expl
1113	2	rendo	rendere	V	O	0	root
1114	3	conto	conto	S	O	2	dobj
1115	4	degli	del	E+RD	O	5	case
1116	5	sforzi	sforzo	S	O	3	nmod
1117	6	compiuti	compiere	V	O	5	acl
1118	7	nel	nel	E+RD	O	8	case
1119	8	corso	corso	S	O	6	nmod
1120	9	degli	del	E+RD	O	11	case
1121	10	ultimi	ultimo	NO	O	11	amod
1122	11	anni	anno	S	O	8	nmod
1123	12	,	[PUNCT]	FF	O	2	punct
1124	13	ma	ma	CC	O	2	cc
1125	14	vorrei	volere	VM	O	15	aux
1126	15	insistere	insistere	V	O	2	conj
1127	16	sul	sul	E+RD	O	17	case
1128	17	fatto	fatto	S	O	15	nmod
1129	18	che	che	CS	O	22	mark
1130	19	a	a	E	O	21	case
1131	20	questo	questo	DD	O	21	det
1132	21	problema	problema	S	O	22	nmod
1133	22	bisogna	bisognare	V	O	17	advcl
1134	23	dedicare	dedicare	V	O	22	csubj
1135	24	adesso	adesso	B	O	23	advmod
1136	25	una	una	RI	O	27	det
1137	26	speciale	speciale	A	O	27	amod
1138	27	attenzione	attenzione	S	O	23	dobj
1139	28	e	e	CC	O	23	cc
1140	29	cercare	cercare	V	O	23	conj
1141	30	di	di	E	O	31	mark
1142	31	prevenirlo	prevenire	V+PC	O	29	xcomp
1143	32	per	per	E	O	34	case
1144	33	il	il	RD	O	34	det
1145	34	futuro	futuro	S	O	31	nmod
1146	35	,	[PUNCT]	FF	O	22	punct
1147	36	perché	perché	CS	O	40	mark
1148	37	non	non	BN	O	40	neg
1149	38	potrà	potere	VM	O	40	aux
1150	39	che	che	PR	O	40	dobj
1151	40	continuare	continuare	V	O	22	advcl
1152	41	ad	ad	E	O	42	mark
1153	42	aggravarsi	aggravare	V+PC	O	40	xcomp
1154	43	.	[PUNCT]	FS	O	2	punct

1155	1	Signor	signore	S	O	6	vocative
1156	2	Presidente	presidente	S	O	1	compound
1157	3	,	[PUNCT]	FF	O	1	punct
1158	4	vorrei	volere	VM	O	6	aux
1159	5	solo	solo	B	O	6	advmod
1160	6	aggiungere	aggiungere	V	O	0	root
1161	7	che	che	CS	O	11	mark
1162	8	sono	essere	V	O	11	cop
1163	9	perfettamente	perfettamente	B	O	11	advmod
1164	10	d'	da	E	O	11	case
1165	11	accordo	accordo	S	O	6	ccomp
1166	12	sull'	sull'	E+RD	O	13	case
1167	13	osservazione	osservazione	S	O	11	nmod
1168	14	della	della	E+RD	O	15	case
1169	15	onorevole	onorevole	S	O	13	nmod
1170	16	parlamentare	parlamentare	A	O	15	amod
1171	17	e	e	CC	O	15	cc
1172	18	che	che	PR	O	22	nsubj
1173	19	l'	l'	RD	O	20	det
1174	20	Unione	unione	S	ORG	22	nsubj
1175	21	si	si	PC	O	22	expl
1176	22	adopererà	adoperare	V	O	15	conj
1177	23	,	[PUNCT]	FF	O	22	punct
1178	24	nell'	nell'	E+RD	O	25	case
1179	25	ambito	ambito	S	O	22	nmod
1180	26	dei	del	E+RD	O	27	case
1181	27	negoziati	negoziato	S	O	25	nmod
1182	28	per	per	E	O	30	case
1183	29	l'	l'	RD	O	30	det
1184	30	ampliamento	ampliamento	S	O	27	nmod
1185	31	ed	ed	CC	O	30	cc
1186	32	in	in	E	O	33	case
1187	33	particolare	particolare	S	O	30	conj
1188	34	nel	nel	E+RD	O	35	case
1189	35	quadro	quadro	S	O	33	nmod
1190	36	delle	della	E+RD	O	37	case
1191	37	relazioni	relazione	S	O	35	nmod
1192	38	esterne	esterno	A	O	37	amod
1193	39	in	in	E	O	40	case
1194	40	materia	materia	S	O	37	nmod
1195	41	di	di	E	O	42	case
1196	42	giustizia	giustizia	S	O	40	nmod
1197	43	e	e	CC	O	42	cc
1198	44	affari	affare	S	O	42	conj
1199	45	interni	interno	A	O	44	amod
1200	46	,	[PUNCT]	FF	O	22	punct
1201	47	per	per	E	O	48	mark
1202	48	portare	portare	V	O	22	advcl
1203	49	avanti	avanti	B	O	48	advmod
1204	50	con	con	E	O	52	case
1205	51	i	il	RD	O	52	det
1206	52	paesi	paese	S	O	48	nmod
1207	53	candidati	candidare	V	O	52	acl
1208	54	il	il	RD	O	55	det
1209	55	dialogo	dialogo	S	O	53	dobj
1210	56	su	su	E	O	57	case
1211	57	questioni	questione	S	O	55	nmod
1212	58	specifiche	specifico	A	O	57	amod
1213	59	riguardanti	riguardare	V	O	55	acl
1214	60	la	la	RD	O	62	det
1215	61	libera	libero	A	O	62	amod
1216	62	circolazione	circolazione	S	O	59	dobj
1217	63	delle	della	E+RD	O	64	case
1218	64	persone	persona	S	O	62	nmod
1219	65	ed	ed	CC	O	59	cc
1220	66	in	in	E	O	67	case
1221	67	particolare	particolare	S	O	59	conj
1222	68	l'	l'	RD	O	69	det
1223	69	immigrazione	immigrazione	S	O	67	dobj
1224	70	clandestina	clandestino	A	O	69	amod
1225	71	.	[PUNCT]	FS	O	6	punct

1226	1	Pensiamo	pensare	V	O	0	root
1227	2	che	che	CS	O	38	mark
1228	3	,	[PUNCT]	FF	O	38	punct
1229	4	pur	pur	B	O	6	advmod
1230	5	senza	senza	E	O	6	mark
1231	6	mettere	mettere	V	O	38	advcl
1232	7	in	in	E	O	8	case
1233	8	discussione	discussione	S	O	6	nmod
1234	9	la	la	RD	O	10	det
1235	10	necessità	necessità	S	O	6	dobj
1236	11	di	di	E	O	12	mark
1237	12	condurre	condurre	V	O	10	acl
1238	13	all'	all'	E+RD	O	14	case
1239	14	interno	interno	S	O	12	nmod
1240	15	dell'	dell'	E+RD	O	16	case
1241	16	Unione	Unione	SP	LOC	14	nmod
1242	17	europea	europea	SP	LOC	16	name
1243	18	una	una	RI	O	19	det
1244	19	politica	politica	S	O	12	dobj
1245	20	di	di	E	O	21	case
1246	21	tolleranza	tolleranza	S	O	19	nmod
1247	22	nei	nel	E+RD	O	23	case
1248	23	confronti	confronto	S	O	19	nmod
1249	24	degli	del	E+RD	O	25	case
1250	25	immigrati	immigrato	S	O	23	nmod
1251	26	e	e	CC	O	25	cc
1252	27	di	di	E	O	28	case
1253	28	accoglienza	accoglienza	S	O	25	conj
1254	29	nei	nel	E+RD	O	30	case
1255	30	confronti	confronto	S	O	19	nmod
1256	31	dei	del	E+RD	O	32	case
1257	32	rifugiati	rifugiato	S	O	30	nmod
1258	33	per	per	E	O	34	case
1259	34	motivi	motivo	S	O	30	nmod
1260	35	economici	economico	A	O	34	amod
1261	36	,	[PUNCT]	FF	O	6	punct
1262	37	dovremo	dovere	VM	O	38	aux
1263	38	cercare	cercare	V	O	1	ccomp
1264	39	di	di	E	O	40	mark
1265	40	evitare	evitare	V	O	38	xcomp
1266	41	che	che	CS	O	44	mark
1267	42	vengano	venire	VA	O	44	auxpass
1268	43	a	a	E	O	44	mark
1269	44	crearsi	creare	V+PC	O	40	ccomp
1270	45	,	[PUNCT]	FF	O	44	punct
1271	46	in	in	E	O	48	case
1272	47	tal	tal	DD	O	48	det
1273	48	modo	modo	S	O	44	nmod
1274	49	,	[PUNCT]	FF	O	44	punct
1275	50	meccanismi	meccanismo	S	O	44	nsubjpass
1276	51	atti	atto	A	O	50	amod
1277	52	a	a	E	O	53	mark
1278	53	facilitare	facilitare	V	O	50	acl
1279	54	,	[PUNCT]	FF	O	50	punct
1280	55	in	in	E	O	56	case
1281	56	particolare	particolare	S	O	50	nmod
1282	57	,	[PUNCT]	FF	O	56	punct
1283	58	lo	il	RD	O	59	det
1284	59	sfruttamento	sfruttamento	S	O	56	conj
1285	60	delle	della	E+RD	O	61	case
1286	61	donne	donna	S	O	59	nmod
1287	62	e	e	CC	O	56	cc
1288	63	lo	il	RD	O	64	det
1289	64	sviluppo	sviluppo	S	O	56	conj
1290	65	di	di	E	O	66	case
1291	66	forme	forma	S	O	64	nmod
1292	67	di	di	E	O	68	case
1293	68	criminalità	criminalità	S	O	66	nmod
1294	69	legate	legare	V	O	56	acl
1295	70	,	[PUNCT]	FF	O	56	punct
1296	71	per	per	E	O	73	case
1297	72	l'	l'	RD	O	73	det
1298	73	appunto	appunto	S	O	56	conj
1299	74	,	[PUNCT]	FF	O	56	punct
1300	75	alla	alla	E+RD	O	77	case
1301	76	libera	libero	A	O	77	amod
1302	77	circolazione	circolazione	S	O	56	conj
1303	78	delle	della	E+RD	O	79	case
1304	79	persone	persona	S	O	77	nmod
1305	80	.	[PUNCT]	FS	O	1	punct

1306	1	Riteniamo	ritenere	V	O	0	root
1307	2	che	che	CS	O	6	mark
1308	3	risultati	risultato	S	O	6	nsubj
1309	4	concreti	concreto	A	O	3	amod
1310	5	possano	potere	VM	O	6	aux
1311	6	emergere	emergere	V	O	1	ccomp
1312	7	dal	dal	E+RD	O	8	case
1313	8	lavoro	lavoro	S	O	6	nmod
1314	9	svolto	svolgere	V	O	8	acl
1315	10	e	e	CC	O	9	cc
1316	11	dalla	dalla	E+RD	O	12	case
1317	12	consapevolezza	consapevolezza	S	O	9	conj
1318	13	dimostrata	dimostrare	V	O	12	acl
